sel1;gol1;gol2;sel2
173;15;0;24
161;14;0;24
44;12;0;24
52;10;0;182
164;10;0;24
231;10;0;127
90;9;3;208
20;9;0;84
113;9;0;143
20;8;1;70
44;8;1;169
101;8;1;166
164;8;1;128
170;8;1;84
216;8;1;159
224;8;1;59
73;8;0;228
75;8;0;106
105;8;0;182
108;8;0;17
199;8;0;115
203;8;0;121
213;8;0;123
231;8;0;220
107;7;2;33
3;7;1;71
30;7;1;94
39;7;1;184
83;7;1;133
109;7;1;114
128;7;1;115
3;7;0;218
9;7;0;26
11;7;0;31
12;7;0;217
35;7;0;59
54;7;0;233
82;7;0;182
91;7;0;92
93;7;0;7
96;7;0;24
103;7;0;84
108;7;0;36
117;7;0;115
128;7;0;24
149;7;0;181
164;7;0;220
171;7;0;70
185;7;0;220
210;7;0;182
205;6;2;227
9;6;1;167
19;6;1;217
36;6;1;32
82;6;1;10
99;6;1;115
141;6;1;22
150;6;1;196
186;6;1;84
203;6;1;199
223;6;1;61
231;6;1;17
234;6;1;208
3;6;0;118
3;6;0;132
8;6;0;7
20;6;0;5
52;6;0;14
56;6;0;130
61;6;0;40
73;6;0;4
76;6;0;31
82;6;0;160
101;6;0;89
101;6;0;114
107;6;0;95
131;6;0;27
135;6;0;53
141;6;0;129
147;6;0;116
161;6;0;127
164;6;0;127
171;6;0;5
195;6;0;182
196;6;0;228
200;6;0;59
213;6;0;194
214;6;0;36
221;6;0;133
223;6;0;208
234;6;0;53
234;6;0;95
238;6;0;143
243;6;0;190
75;5;2;98
129;5;2;22
185;5;2;106
187;5;2;91
210;5;2;97
214;5;2;1
238;5;2;155
8;5;1;87
12;5;1;108
14;5;1;182
20;5;1;123
34;5;1;212
52;5;1;160
82;5;1;14
100;5;1;115
102;5;1;216
107;5;1;235
114;5;1;143
120;5;1;190
142;5;1;190
169;5;1;216
171;5;1;37
171;5;1;72
176;5;1;80
192;5;1;32
198;5;1;212
203;5;1;77
216;5;1;124
226;5;1;115
229;5;1;200
229;5;1;200
231;5;1;226
232;5;1;90
1;5;0;204
9;5;0;26
9;5;0;165
10;5;0;205
12;5;0;17
16;5;0;216
20;5;0;55
28;5;0;70
28;5;0;84
30;5;0;26
43;5;0;237
43;5;0;26
55;5;0;5
56;5;0;182
58;5;0;121
61;5;0;172
67;5;0;182
73;5;0;222
75;5;0;167
80;5;0;116
83;5;0;71
87;5;0;193
89;5;0;159
91;5;0;187
95;5;0;21
96;5;0;143
105;5;0;121
107;5;0;1
107;5;0;214
117;5;0;155
119;5;0;59
128;5;0;17
139;5;0;109
141;5;0;132
142;5;0;200
147;5;0;51
147;5;0;123
151;5;0;7
151;5;0;53
161;5;0;128
169;5;0;166
170;5;0;74
171;5;0;84
173;5;0;117
178;5;0;133
203;5;0;50
205;5;0;60
217;5;0;17
217;5;0;17
221;5;0;59
235;5;0;114
236;5;0;222
237;5;0;26
238;5;0;36
243;5;0;190
93;4;4;208
135;4;4;223
33;4;3;123
78;4;3;129
86;4;3;97
87;4;3;208
107;4;3;242
112;4;3;116
115;4;3;32
131;4;3;208
228;4;3;222
17;4;2;204
21;4;2;87
26;4;2;237
29;4;2;218
43;4;2;165
44;4;2;223
62;4;2;6
75;4;2;177
78;4;2;118
94;4;2;18
96;4;2;36
96;4;2;216
107;4;2;150
128;4;2;24
153;4;2;142
155;4;2;235
170;4;2;98
170;4;2;139
177;4;2;19
177;4;2;199
192;4;2;36
208;4;2;18
216;4;2;138
219;4;2;216
219;4;2;100
220;4;2;32
223;4;2;76
232;4;2;26
242;4;2;218
1;4;1;128
3;4;1;218
9;4;1;237
10;4;1;19
12;4;1;113
16;4;1;185
22;4;1;200
35;4;1;71
37;4;1;51
44;4;1;161
51;4;1;78
52;4;1;86
54;4;1;27
56;4;1;188
58;4;1;109
62;4;1;41
66;4;1;205
73;4;1;149
75;4;1;33
76;4;1;54
77;4;1;139
82;4;1;105
82;4;1;135
99;4;1;146
99;4;1;172
99;4;1;124
102;4;1;185
103;4;1;234
108;4;1;1
127;4;1;36
131;4;1;88
139;4;1;10
141;4;1;178
143;4;1;164
144;4;1;243
147;4;1;19
153;4;1;152
155;4;1;127
160;4;1;182
169;4;1;115
169;4;1;146
171;4;1;116
188;4;1;14
203;4;1;104
217;4;1;127
218;4;1;22
220;4;1;138
224;4;1;119
231;4;1;173
238;4;1;216
1;4;0;17
3;4;0;190
6;4;0;118
6;4;0;41
16;4;0;226
20;4;0;28
20;4;0;55
30;4;0;165
32;4;0;220
34;4;0;39
36;4;0;204
38;4;0;60
38;4;0;132
43;4;0;50
44;4;0;114
44;4;0;128
50;4;0;234
52;4;0;84
58;4;0;33
58;4;0;170
61;4;0;227
62;4;0;120
64;4;0;165
64;4;0;94
65;4;0;42
67;4;0;122
68;4;0;200
70;4;0;84
73;4;0;222
75;4;0;160
75;4;0;10
75;4;0;147
77;4;0;121
78;4;0;209
80;4;0;84
82;4;0;171
82;4;0;84
83;4;0;199
86;4;0;84
96;4;0;124
96;4;0;115
97;4;0;122
97;4;0;5
98;4;0;121
100;4;0;162
100;4;0;220
101;4;0;99
101;4;0;191
102;4;0;219
103;4;0;161
104;4;0;5
107;4;0;164
107;4;0;102
107;4;0;161
107;4;0;219
108;4;0;96
116;4;0;5
120;4;0;184
125;4;0;128
128;4;0;115
129;4;0;79
132;4;0;200
135;4;0;199
138;4;0;159
141;4;0;142
141;4;0;41
141;4;0;38
141;4;0;132
141;4;0;153
152;4;0;197
153;4;0;37
158;4;0;182
158;4;0;14
165;4;0;53
165;4;0;53
168;4;0;223
169;4;0;100
170;4;0;80
171;4;0;55
173;4;0;192
173;4;0;128
173;4;0;240
177;4;0;14
177;4;0;121
185;4;0;115
194;4;0;122
195;4;0;122
199;4;0;143
203;4;0;123
203;4;0;77
210;4;0;122
212;4;0;190
213;4;0;19
215;4;0;181
219;4;0;143
223;4;0;61
225;4;0;33
231;4;0;115
232;4;0;167
234;4;0;90
234;4;0;90
234;4;0;26
234;4;0;50
234;4;0;223
234;4;0;165
239;4;0;137
243;4;0;212
60;3;5;87
12;3;4;64
24;3;4;128
28;3;4;20
51;3;4;62
71;3;4;48
75;3;4;20
118;3;4;243
124;3;4;114
147;3;4;234
161;3;4;50
168;3;4;43
176;3;4;230
177;3;4;50
217;3;4;169
231;3;4;10
1;3;3;108
20;3;3;135
43;3;3;135
71;3;3;3
94;3;3;223
97;3;3;171
107;3;3;94
135;3;3;223
153;3;3;141
164;3;3;216
177;3;3;20
177;3;3;203
217;3;3;164
224;3;3;78
6;3;2;133
8;3;2;23
10;3;2;139
10;3;2;55
12;3;2;185
13;3;2;188
19;3;2;135
20;3;2;160
26;3;2;237
26;3;2;151
27;3;2;211
33;3;2;213
35;3;2;132
36;3;2;220
39;3;2;48
43;3;2;65
43;3;2;234
43;3;2;167
55;3;2;28
58;3;2;234
75;3;2;37
75;3;2;67
77;3;2;123
88;3;2;76
91;3;2;120
92;3;2;242
95;3;2;135
96;3;2;89
98;3;2;74
99;3;2;128
101;3;2;113
113;3;2;1
115;3;2;36
124;3;2;138
125;3;2;184
126;3;2;71
127;3;2;219
127;3;2;36
128;3;2;36
131;3;2;18
160;3;2;98
169;3;2;155
169;3;2;73
170;3;2;58
173;3;2;199
176;3;2;43
181;3;2;4
185;3;2;231
185;3;2;164
188;3;2;13
192;3;2;128
194;3;2;210
196;3;2;166
198;3;2;29
199;3;2;44
199;3;2;173
208;3;2;60
210;3;2;195
211;3;2;88
216;3;2;89
216;3;2;124
231;3;2;117
234;3;2;98
234;3;2;131
238;3;2;100
1;3;1;226
2;3;1;173
3;3;1;10
3;3;1;71
3;3;1;198
3;3;1;132
7;3;1;31
12;3;1;95
16;3;1;192
18;3;1;208
20;3;1;98
20;3;1;28
20;3;1;104
20;3;1;105
24;3;1;17
28;3;1;101
28;3;1;104
29;3;1;69
30;3;1;52
30;3;1;237
30;3;1;107
34;3;1;6
37;3;1;62
38;3;1;106
38;3;1;66
39;3;1;152
41;3;1;6
42;3;1;126
43;3;1;12
43;3;1;232
43;3;1;237
44;3;1;113
46;3;1;113
46;3;1;64
46;3;1;94
50;3;1;165
51;3;1;3
51;3;1;129
51;3;1;209
55;3;1;84
55;3;1;109
62;3;1;191
62;3;1;48
62;3;1;91
64;3;1;95
64;3;1;223
66;3;1;21
67;3;1;195
76;3;1;95
77;3;1;14
82;3;1;170
82;3;1;37
83;3;1;91
83;3;1;221
83;3;1;142
88;3;1;208
90;3;1;95
91;3;1;119
92;3;1;41
94;3;1;151
95;3;1;223
97;3;1;116
100;3;1;36
101;3;1;226
102;3;1;44
103;3;1;232
116;3;1;123
117;3;1;162
124;3;1;115
128;3;1;24
129;3;1;92
132;3;1;198
133;3;1;125
135;3;1;64
135;3;1;232
135;3;1;103
135;3;1;66
135;3;1;223
141;3;1;229
141;3;1;221
141;3;1;62
141;3;1;65
141;3;1;37
141;3;1;91
143;3;1;115
144;3;1;243
147;3;1;109
147;3;1;33
150;3;1;73
151;3;1;21
151;3;1;53
153;3;1;209
153;3;1;3
158;3;1;86
161;3;1;192
161;3;1;226
168;3;1;66
168;3;1;106
169;3;1;115
170;3;1;56
170;3;1;176
173;3;1;155
173;3;1;192
176;3;1;109
178;3;1;71
183;3;1;110
183;3;1;178
187;3;1;35
187;3;1;79
187;3;1;91
187;3;1;191
187;3;1;91
188;3;1;104
194;3;1;98
194;3;1;80
198;3;1;142
198;3;1;153
198;3;1;92
198;3;1;34
199;3;1;237
203;3;1;28
213;3;1;101
213;3;1;139
214;3;1;173
216;3;1;220
