sel1	gols1	gols2	sel2	data	peso
Kuwait	1	2	Jordan	735234	1
Uganda	3	0	Mauritania	735236	1
Bahrain	0	1	Jordan	735237	1
Qatar	0	0	Kuwait	735237	1
Namibia	0	1	Ghana	735237	1
Nigeria	2	1	Ethiopia	735237	1
Mozambique	2	3	Mauritania	735238	1
Zimbabwe	2	0	Gabon	735240	1
Kuwait	1	1	Bahrain	735240	1
Qatar	2	0	Jordan	735240	1
Mali	2	1	Nigeria	735244	1
South Africa	3	1	Mozambique	735244	1
Zimbabwe	0	0	Morocco	735245	1
Uganda	2	1	Burkina Faso	735245	1
Ghana	1	0	Congo	735246	1
Libya	2	0	Ethiopia	735246	1
DR Congo	1	0	Mauritania	735247	1
Gabon	0	0	Burundi	735247	1
South Africa	1	1	Mali	735248	1
Nigeria	4	2	Mozambique	735248	1
Moldova	1	2	Norway	735248	1
Burkina Faso	1	1	Morocco	735249	1
Zimbabwe	0	0	Uganda	735249	1
Ghana	1	1	Libya	735250	1
Ethiopia	0	1	Congo	735250	1
Moldova	1	2	Sweden	735250	1
DR Congo	0	1	Gabon	735251	1
Burundi	3	2	Mauritania	735251	1
Poland	3	0	Norway	735251	1
Mozambique	1	2	Mali	735252	1
South Africa	3	1	Nigeria	735252	1
Morocco	3	1	Uganda	735253	1
Burkina Faso	0	1	Zimbabwe	735253	1
Moldova	0	1	Poland	735253	1
Congo	2	2	Libya	735254	1
Ethiopia	0	1	Ghana	735254	1
Iceland	0	2	Sweden	735254	1
Mauritania	2	4	Gabon	735255	1
Burundi	1	2	DR Congo	735255	1
Chile	4	0	Costa Rica	735255	1
Oman	0	0	Finland	735257	1
Costa Rica	0	1	South Korea	735258	1
Nigeria	3	3	Morocco	735258	1
Mali	1	2	Zimbabwe	735258	1
Ghana	1	0	DR Congo	735259	1
Gabon	1	1	Libya	735259	1
Mexico	4	0	South Korea	735262	1
Zimbabwe	1	1	Libya	735262	1
Nigeria	1	1	Ghana	735262	1
Oman	0	0	Jordan	735264	2.5
