date,local,home_team,home_score,away_score,away_team
14.06.2018,Moscow,Russia,5,0,Saudi Arabia
15.06.2018,Sochi,Portugal,3,3,Spain
15.06.2018,St. Petersburg,Morocco,0,1,Iran
15.06.2018,Jekaterinburg,Egypt,0,1,Uruguay
16.06.2018,Kazan,France,2,1,Australia
16.06.2018,Moscow,Argentina,1,1,Iceland
16.06.2018,Saransk,Peru,0,1,Denmark
16.06.2018,Kaliningrad,Croatia,2,0,Nigeria
17.06.2018,Samara,Costa Rica,0,1,Serbia
17.06.2018,Rostov-On-Don,Brazil,1,1,Suisse
17.06.2018,Moscow,Germany,0,1,Mexico
18.06.2018,Volgograd,Tunisia,1,2,England
18.06.2018,Sochi,Belgium,3,0,Panama
18.06.2018,Nizhniy Novgorod,Sweden,1,0,South Korea
19.06.2018,Moscow,Poland,1,2,Senegal
19.06.2018,Saransk,Colombia,1,2,Japan
19.06.2018,St. Petersburg,Russia,3,1,Egypt
20.06.2018,Kazan,Iran,0,1,Spain
20.06.2018,Rostov-On-Don,Uruguay,1,0,Saudi Arabia
20.06.2018,Moscow,Portugal,1,0,Morocco
21.06.2018,Jekaterinburg,France,1,0,Peru
21.06.2018,Samara,Denmark,1,1,Australia
21.06.2018,Nizhniy Novgorod,Argentina,0,3,Croatia
22.06.2018,St. Petersburg,Brazil,2,0,Costa Rica
22.06.2018,Wolgograd,Nigeria,2,0,Iceland
22.06.2018,Kaliningrad,Serbia,1,2,Suisse
23.06.2018,St. Petersburg,Belgium,5,2,Tunisia
23.06.2018,Wolgograd,South Korea,1,2,Mexico
23.06.2018,Kaliningrad,Germany,2,1,Sweden
24.06.2018,Nizhniy Novgorod,England,6,1,Panama
24.06.2018,Jekaterinburg,Japan,2,2,Senegal
24.06.2018,Kazan,Poland,0,3,Colombia
25.06.2018,Volgograd,Saudi Arabia,2,1,Egypt
25.06.2018,Kaliningrad,Spain,2,2,Morocco
25.06.2018,Samara,Uruguay,3,0,Russia
25.06.2018,Saransk,Iran,1,1,Portugal
26.06.2018,Sochi,Australia,0,2,Peru
26.06.2018,Moscow,Denmark,0,0,France
26.06.2018,St. Petersburg,Nigeria,1,2,Argentina
26.06.2018,Rostov-On-Don,Iceland,1,2,Croatia
27.06.2018,St. Petersburg,Brazil,2,0,Serbia
27.06.2018,Kaliningrad,Suisse,2,2,Costa Rica
27.06.2018,St. Petersburg,Mexico,0,3,Sweden
27.06.2018,St. Petersburg,South Korea,2,0,Germany
28.06.2018,Kaliningrad,Japan,0,1,Poland
28.06.2018,St. Petersburg,Senegal,0,1,Colombia
28.06.2018,Kaliningrad,Panama,1,2,Tunisia
28.06.2018,St. Petersburg,England,0,1,Belgium
30.06.2018,Kazan,France,4,3,Argentina
30.06.2018,Sochi,Uruguay,2,1,Portugal
01.07.2018,Moscow,Spain,1,1,Russia
01.07.2018,Nizhniy Novgorod,Croatia,1,1,Denmark
02.07.2018,Samara,Brazil,2,0,Mexico
02.07.2018,Rostov-On-Don,Belgium,3,2,Japan
03.07.2018,St. Petersburg,Sweden,1,0,Suisse
03.07.2018,Moscow,Colombia,1,1,England
06.07.2018,Samara,Uruguay,0,2,France
06.07.2018,Rostov-On-Don,Brazil,1,2,Belgium
07.07.2018,St. Petersburg,Sweden,0,2,England
07.07.2018,Moscow,Russia,1,1,Croatia
10.07.2018,St. Petersburg,France,,,Belgium
11.07.2018,Moscow,Croatia,,,England
