group,home_team,away_team,date,one_zero,two_zero,three_zero,four_zero,four_one,two_one,three_one,three_two,four_two,four_three,zero_zero,one_one,two_two,three_three,four_four,zero_one,zero_two,zero_three,zero_four,one_two,one_three,one_four,two_three,two_four,three_four,home_real,away_real
A,México,Coreia do Sul,18/06,13.781,8.5837,3.3965,1.008,0.9272,7.8959,3.1243,1.437,0.4265,0.1308,12.864,13.9842,3.6316,0.4406,0.0301,10.5257,5.1544,1.5804,0.3634,6.1186,1.8761,0.4314,1.1135,0.2561,0.1013,,
A,México,África do Sul,11/06,17.4682,12.7619,6.0097,2.1225,1.3739,8.2607,3.89,1.259,0.4447,0.0959,13.3872,12.2932,2.6735,0.2716,0.0155,7.6792,2.6791,0.5781,0.0935,3.7849,0.8166,0.1322,0.5769,0.0933,0.044,3.0,0.0
A,Tchéquia,México,24/06,10.6634,5.1654,1.5679,0.3569,0.419,6.0634,1.8404,1.0802,0.2459,0.0962,13.1408,13.9991,3.5587,0.4226,0.0282,13.9431,8.5836,3.3586,0.9856,7.8162,3.0583,0.8975,1.3924,0.4086,0.124,,
A,África do Sul,Coreia do Sul,24/06,7.5726,3.6336,1.0732,0.2377,0.3562,5.4452,1.6082,1.205,0.2669,0.1333,9.8857,12.92,4.0799,0.6019,0.05,13.2421,10.3934,5.1917,1.945,9.2092,4.6002,1.7234,2.038,0.7635,0.2255,,
A,Coreia do Sul,Tchéquia,11/06,9.684,6.4399,2.6728,0.832,1.0371,8.0272,3.3317,2.0764,0.6464,0.2686,8.9676,13.5538,5.0029,0.8627,0.0837,9.6952,6.4538,2.6815,0.8356,8.0359,3.3389,1.0405,2.0787,0.6478,0.2689,1.0,2.0
A,Tchéquia,África do Sul,18/06,13.4443,10.4403,5.1625,1.9146,1.6775,9.1475,4.5233,1.9816,0.7349,0.2146,10.1198,12.9641,4.0074,0.5787,0.047,7.6822,3.6421,1.0637,0.233,5.4029,1.578,0.3456,1.1704,0.2564,0.1268,,
B,Suíça,Canadá,24/06,12.2399,8.7782,3.9825,1.3551,1.3532,8.7658,3.9769,1.9856,0.6756,0.2249,10.137,13.5406,4.3768,0.661,0.0561,8.8048,4.7255,1.5729,0.3927,6.4315,2.1408,0.5345,1.4569,0.3637,0.165,,
B,Canadá,Catar,18/06,11.7881,12.6549,8.6959,4.4816,3.4893,9.8528,6.7704,2.6356,1.3583,0.3525,6.445,10.0483,3.8356,0.684,0.0686,4.1476,1.8051,0.4685,0.0912,3.7212,0.9657,0.188,0.9954,0.1938,0.1331,,
B,Canadá,Bósnia e Herzegovina,12/06,16.0863,13.0372,6.7987,2.659,1.8091,8.87,4.6256,1.5735,0.6154,0.1396,11.234,11.92,3.0174,0.3569,0.0237,6.6677,2.4657,0.5592,0.0951,3.8575,0.8748,0.1488,0.6843,0.1164,0.0607,,
B,Catar,Suíça,13/06,2.1294,0.9337,0.2349,0.0443,0.1207,2.5432,0.6398,0.8713,0.1644,0.1492,3.6236,7.0843,3.4633,0.791,0.1016,8.5845,12.1603,11.04,7.5172,9.1777,8.3322,5.6734,3.1442,2.1409,0.5386,,
