home_team,away_team,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
México,Coreia do Sul,57.826,26.246,15.928,12.26,7.737,2.441,0.516,0.096,17.743,11.054,3.521,0.776,0.113,13.267,8.144,2.644,0.543,0.084,6.536,4.051,1.361,0.268,0.043,2.53,1.568,0.557,0.119,0.019
México,África do Sul,61.33,26.0,12.67,13.83,7.025,1.851,0.286,0.044,19.902,10.115,2.541,0.444,0.06,14.767,7.626,1.871,0.346,0.037,7.609,3.707,0.93,0.175,0.018,2.818,1.424,0.396,0.057,0.009
México,Tchéquia,67.862,20.893,11.245,8.423,4.931,1.487,0.318,0.052,15.708,9.362,2.998,0.601,0.09,14.627,8.69,2.751,0.566,0.088,9.22,5.433,1.688,0.32,0.056,4.31,2.577,0.757,0.171,0.037
México,Canadá,46.984,29.716,23.3,13.858,10.45,4.096,1.049,0.183,16.695,12.534,4.908,1.253,0.256,10.178,7.753,2.989,0.753,0.15,4.227,3.192,1.205,0.316,0.068,1.336,1.006,0.389,0.099,0.016
México,Suíça,40.227,29.479,30.294,12.337,11.733,5.543,1.831,0.438,14.034,13.081,6.277,2.04,0.514,8.088,7.616,3.581,1.179,0.293,3.075,2.923,1.402,0.448,0.129,0.912,0.873,0.409,0.144,0.03
México,Catar,83.087,12.268,4.645,4.832,2.214,0.484,0.08,0.013,12.204,5.551,1.274,0.209,0.022,15.85,6.983,1.64,0.267,0.043,13.634,6.225,1.482,0.223,0.028,8.934,3.88,0.905,0.147,0.022
México,Bósnia e Herzegovina,67.714,21.311,10.975,9.329,5.342,1.527,0.272,0.043,16.636,9.284,2.558,0.542,0.077,15.172,8.207,2.432,0.469,0.079,9.273,5.105,1.466,0.247,0.031,4.427,2.375,0.748,0.138,0.019
México,Brasil,26.091,31.545,42.364,15.583,16.737,9.184,3.39,0.968,12.134,12.934,6.955,2.448,0.68,4.694,5.032,2.766,1.059,0.283,1.287,1.339,0.718,0.251,0.075,0.25,0.272,0.146,0.063,0.01
México,Marrocos,27.742,35.654,36.604,21.161,18.09,7.707,2.253,0.525,14.795,12.422,5.237,1.495,0.363,5.104,4.405,1.941,0.567,0.127,1.272,1.085,0.434,0.126,0.02,0.247,0.189,0.08,0.026,0.004
México,Escócia,52.896,28.635,18.469,14.376,9.192,2.971,0.687,0.111,18.715,11.507,3.705,0.88,0.151,12.172,7.584,2.51,0.566,0.098,5.359,3.263,1.089,0.229,0.035,1.892,1.096,0.373,0.074,0.013
México,Haiti,78.504,15.405,6.091,6.786,3.023,0.704,0.119,0.017,14.628,6.572,1.572,0.229,0.023,16.567,7.668,1.811,0.318,0.038,12.517,5.698,1.35,0.209,0.036,7.21,3.372,0.793,0.129,0.025
México,EUA,49.684,26.881,23.435,9.98,8.732,3.86,1.199,0.26,14.07,12.435,5.484,1.63,0.414,10.026,8.844,3.879,1.179,0.276,4.855,4.163,1.817,0.535,0.142,1.763,1.545,0.698,0.241,0.05
