group,home_team,away_team,date,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
A,México,Coreia do Sul,18/06,49.105,27.439,23.456,10.758,9.082,3.892,1.137,0.241,14.647,12.518,5.315,1.589,0.39,9.914,8.658,3.593,1.185,0.236,4.668,3.987,1.725,0.52,0.133,1.71,1.429,0.627,0.17,0.048
B,Suíça,Canadá,24/06,51.592,24.315,24.093,6.883,6.895,3.74,1.376,0.371,11.064,11.357,5.953,2.102,0.634,8.858,9.195,4.915,1.77,0.453,5.224,5.267,2.755,1.025,0.269,2.226,2.189,1.23,0.429,0.121
C,Brasil,Marrocos,13/06,32.345,32.154,35.501,15.806,14.83,7.129,2.366,0.585,13.946,13.201,6.295,2.133,0.495,6.304,5.826,2.857,0.942,0.25,2.0,1.842,0.879,0.267,0.083,0.473,0.489,0.217,0.08,0.02
D,EUA,Austrália,19/06,26.837,25.811,47.352,8.41,12.016,8.819,4.454,1.647,8.503,11.857,8.792,4.456,1.73,4.363,6.349,4.666,2.227,0.905,1.594,2.185,1.619,0.788,0.335,0.398,0.614,0.457,0.242,0.082
E,Equador,Alemanha,25/06,25.994,30.078,43.928,13.752,15.648,9.204,3.726,1.175,11.166,12.861,7.65,2.94,0.974,4.77,5.168,3.076,1.26,0.391,1.295,1.566,0.901,0.362,0.117,0.305,0.351,0.196,0.081,0.027
F,Países Baixos,Japão,14/06,38.622,24.784,36.594,6.224,8.433,5.822,2.703,0.974,8.637,11.589,8.04,3.667,1.317,6.204,8.109,5.505,2.658,0.975,3.024,4.04,2.814,1.277,0.4,1.063,1.513,0.954,0.454,0.171
G,Bélgica,Egito,15/06,56.979,25.929,17.092,11.476,7.73,2.736,0.652,0.123,16.662,11.198,3.814,0.903,0.168,12.439,8.46,2.876,0.683,0.121,6.351,4.432,1.464,0.36,0.074,2.543,1.68,0.573,0.152,0.019
H,Uruguai,Espanha,26/06,19.022,26.674,54.304,11.559,16.497,11.625,5.735,2.168,8.355,11.767,8.636,4.088,1.551,3.07,4.264,2.961,1.45,0.579,0.803,1.062,0.804,0.358,0.134,0.141,0.189,0.151,0.078,0.027
I,França,Senegal,16/06,58.991,23.514,17.495,8.435,6.684,2.637,0.783,0.141,13.856,10.871,4.254,1.171,0.249,11.796,9.33,3.61,1.047,0.236,6.68,5.228,2.131,0.55,0.128,3.068,2.273,0.902,0.269,0.043
J,Argentina,Áustria,22/06,61.738,23.443,14.819,9.723,6.442,2.189,0.54,0.097,15.948,10.36,3.536,0.895,0.146,13.13,8.622,2.932,0.664,0.155,7.6,4.944,1.719,0.392,0.066,3.363,2.153,0.788,0.164,0.033
