year,tournament_name,player_name,player_team_name,player_team_code,player_id,goals,rank,player_wikipedia_link,posição,wikipedia_profile_link
1930,1930 FIFA Men's World Cup,Guillermo Stábile,Argentina,ARG,P-56486,8,1,https://en.wikipedia.org/wiki/Guillermo_St%C3%A1bile,Atacante,https://upload.wikimedia.org/wikipedia/commons/5/51/Guillermo_stabile_hincado.jpg
1930,1930 FIFA Men's World Cup,Pedro Cea,Uruguay,URY,P-18628,5,2,https://en.wikipedia.org/wiki/Pedro_Cea,Atacante,https://upload.wikimedia.org/wikipedia/commons/0/0d/Pedro_Cea_%281928%29.jpg
1930,1930 FIFA Men's World Cup,Bert Patenaude,United States,USA,P-71973,4,3,https://en.wikipedia.org/wiki/Bert_Patenaude,Atacante,https://upload.wikimedia.org/wikipedia/en/c/cd/Bert_Patenaude.jpg
1930,1930 FIFA Men's World Cup,Carlos Peucelle,Argentina,ARG,P-70166,3,4,https://en.wikipedia.org/wiki/Carlos_Peucelle,Atacante,https://upload.wikimedia.org/wikipedia/commons/7/77/Peucelle_1929.jpg
1930,1930 FIFA Men's World Cup,Ivan Bek,Serbia,YUG,P-43734,3,5,https://en.wikipedia.org/wiki/Ivan_Bek,Atacante,https://upload.wikimedia.org/wikipedia/commons/f/f4/Ivan_Bek_%281928%29.jpg
1934,1934 FIFA Men's World Cup,Oldřich Nejedlý,Czechoslovakia,CSK,P-60513,5,1,https://en.wikipedia.org/wiki/Old%C5%99ich_Nejedl%C3%BD,Atacante,https://upload.wikimedia.org/wikipedia/commons/5/55/Nejedly.JPG
1934,1934 FIFA Men's World Cup,Angelo Schiavio,Italy,ITA,P-56703,4,2,https://en.wikipedia.org/wiki/Angelo_Schiavio,Atacante,https://upload.wikimedia.org/wikipedia/commons/4/46/Angelo_Schiavio_-_1925_-_Bologna_FC.jpg
1934,1934 FIFA Men's World Cup,Edmund Conen,Germany,DEU,P-77348,4,3,https://en.wikipedia.org/wiki/Edmund_Conen,Atacante,https://cdn-img.staticzz.com/img/jogadores/40/64640_edmund_conen.jpg
1934,1934 FIFA Men's World Cup,Leopold Kielholz,Switzerland,CHE,P-88416,3,4,https://en.wikipedia.org/wiki/Leopold_Kielholz,Atacante,https://cdn-img.staticzz.com/img/jogadores/41/74541_leopold_kielholz.jpg
1934,1934 FIFA Men's World Cup,Raimundo Orsi,Italy,ITA,P-03638,3,5,https://en.wikipedia.org/wiki/Raimundo_Orsi,Atacante,https://upload.wikimedia.org/wikipedia/commons/d/dd/Raimundo_Orsi_Independiente.jpg
1938,1938 FIFA Men's World Cup,Leônidas,Brazil,BRA,P-09730,7,1,https://pt.wikipedia.org/wiki/Leônidas_da_Silva,Atacante,https://pt.wikipedia.org/wiki/Ficheiro:Leonidas_dasilva.jpg
1938,1938 FIFA Men's World Cup,Gyula Zsengellér,Hungary,HUN,P-67652,5,2,https://en.wikipedia.org/wiki/Gyula_Zsengell%C3%A9r,Atacante,https://upload.wikimedia.org/wikipedia/commons/8/82/Zsengeller-Gyula.jpg
1938,1938 FIFA Men's World Cup,György Sárosi,Hungary,HUN,P-89034,5,3,https://en.wikipedia.org/wiki/Gy%C3%B6rgy_S%C3%A1rosi,Atacante,https://upload.wikimedia.org/wikipedia/commons/5/56/Sarosi_Gyorgy.jpg
1938,1938 FIFA Men's World Cup,Silvio Piola,Italy,ITA,P-65885,5,4,https://en.wikipedia.org/wiki/Silvio_Piola,Atacante,https://upload.wikimedia.org/wikipedia/commons/9/9b/Silvio_Piola_%28Pro_Vercelli%29.jpg
1938,1938 FIFA Men's World Cup,Ernst Wilimowski,Poland,POL,P-13828,4,5,https://en.wikipedia.org/wiki/Ernst_Wilimowski,Atacante,https://upload.wikimedia.org/wikipedia/commons/b/bf/Mecz_Warta_Ruch_1937.jpg
1950,1950 FIFA Men's World Cup,Ademir,Brazil,BRA,P-49381,9,1,https://en.wikipedia.org/wiki/Ademir_Marques_de_Menezes,Atacante,https://upload.wikimedia.org/wikipedia/commons/4/4a/Ademir_de_Menezes.jpg
1950,1950 FIFA Men's World Cup,Oscar Míguez,Uruguay,URY,P-18523,5,2,https://en.wikipedia.org/wiki/Oscar_M%C3%ADguez,Atacante,https://upload.wikimedia.org/wikipedia/en/3/39/%C3%93scar_M%C3%ADguez.jpg
1950,1950 FIFA Men's World Cup,Alcides Ghiggia,Uruguay,URY,P-16302,4,3,https://en.wikipedia.org/wiki/Alcides_Ghiggia,Atacante,https://upload.wikimedia.org/wikipedia/commons/7/72/AS_Roma_-_Alcides_Ghiggia.jpg
1950,1950 FIFA Men's World Cup,Estanislau Basora,Spain,ESP,P-26928,4,4,https://en.wikipedia.org/wiki/Estanislau_Basora,Atacante,https://upload.wikimedia.org/wikipedia/en/9/9b/Estanislau_Basora.jpg
1950,1950 FIFA Men's World Cup,Telmo Zarra,Spain,ESP,P-65220,4,5,https://en.wikipedia.org/wiki/Telmo_Zarra,Atacante,https://upload.wikimedia.org/wikipedia/commons/0/0b/Telmo_Zarra%2C_Estadio%2C_1950-07-29_%28376%29.jpg
1954,1954 FIFA Men's World Cup,Sándor Kocsis,Hungary,HUN,P-07028,11,1,https://en.wikipedia.org/wiki/S%C3%A1ndor_Kocsis,Atacante,https://upload.wikimedia.org/wikipedia/commons/6/69/Kocsis_S%C3%A1ndor_Fortepan_261526.jpg
1954,1954 FIFA Men's World Cup,Erich Probst,Austria,AUT,P-85257,6,2,https://en.wikipedia.org/wiki/Erich_Probst,Meio-campista,https://cdn-img.staticzz.com/img/jogadores/40/22140_pri_erich_probst.jpg
1954,1954 FIFA Men's World Cup,Josef Hügi,Switzerland,CHE,P-14406,6,3,https://en.wikipedia.org/wiki/Josef_H%C3%BCgi,Atacante,https://cdn-img.staticzz.com/img/jogadores/18/288218_josef_hugi.jpg
1954,1954 FIFA Men's World Cup,Max Morlock,Germany,DEU,P-05766,6,4,https://en.wikipedia.org/wiki/Max_Morlock,Atacante,https://upload.wikimedia.org/wikipedia/commons/4/44/Valznerweiher_1961.jpg
1954,1954 FIFA Men's World Cup,Carlos Borges,Uruguay,URY,P-90496,4,5,https://en.wikipedia.org/wiki/Carlos_Borges,Atacante,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/carlos_borges_.jpg
1958,1958 FIFA Men's World Cup,Just Fontaine,France,FRA,P-77939,13,1,https://en.wikipedia.org/wiki/Just_Fontaine,Atacante,https://upload.wikimedia.org/wikipedia/commons/b/bd/23.05.66_Just_Fontaine_dans_son_magasin_%281966%29_-_53Fi634_%28Cropped%29.jpg
1958,1958 FIFA Men's World Cup,Helmut Rahn,Germany,DEU,P-08136,6,2,https://en.wikipedia.org/wiki/Helmut_Rahn,Atacante,https://upload.wikimedia.org/wikipedia/commons/4/4b/Helmut_Rahn.jpg
1958,1958 FIFA Men's World Cup,Pelé,Brazil,BRA,P-38906,6,3,https://en.wikipedia.org/wiki/Pel%C3%A9,Atacante,https://upload.wikimedia.org/wikipedia/commons/5/5e/Pele_con_brasil_%28cropped%29.jpg
1958,1958 FIFA Men's World Cup,Peter McParland,Northern Ireland,NIR,P-77851,5,4,https://en.wikipedia.org/wiki/Peter_McParland,Atacante,https://upload.wikimedia.org/wikipedia/commons/1/1a/Peter_McParland_Villa_Park_16-3-2013.jpg
1958,1958 FIFA Men's World Cup,Vavá,Brazil,BRA,P-45310,5,5,https://en.wikipedia.org/wiki/Vav%C3%A1,Atacante,https://upload.wikimedia.org/wikipedia/commons/e/ec/Vav%C3%A1_en_1962.jpg
1962,1962 FIFA Men's World Cup,Dražan Jerković,Serbia,YUG,P-55024,4,1,https://en.wikipedia.org/wiki/Dra%C5%BEan_Jerkovi%C4%87,Atacante,https://upload.wikimedia.org/wikipedia/commons/f/ff/Drazan_Jerkovic.JPG
1962,1962 FIFA Men's World Cup,Flórián Albert,Hungary,HUN,P-21188,4,2,"https://en.wikipedia.org/wiki/Fl%C3%B3ri%C3%A1n_Albert,_Sr.",Meio-campista,https://upload.wikimedia.org/wikipedia/commons/7/7e/Fl%C3%B3ri%C3%A1n_Albert_cropped.jpg
1962,1962 FIFA Men's World Cup,Leonel Sánchez,Chile,CHL,P-22224,4,3,https://en.wikipedia.org/wiki/Leonel_S%C3%A1nchez,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/d/d5/Leonel_S%C3%A1nchez_%282%29_%28cropped%29.jpg
1962,1962 FIFA Men's World Cup,Valentin Ivanov,Russia,SUN,P-11702,4,4,https://en.wikipedia.org/wiki/Valentin_Kozmich_Ivanov,Atacante,https://upload.wikimedia.org/wikipedia/commons/0/08/Valentin_Kozmich_Ivanov.jpg
1962,1962 FIFA Men's World Cup,Garrincha,Brazil,BRA,P-46080,4,5,https://en.wikipedia.org/wiki/Garrincha,Atacante,https://upload.wikimedia.org/wikipedia/commons/e/eb/MFdSantos-Garrincha.jpg
1966,1966 FIFA Men's World Cup,Eusébio,Portugal,PRT,P-74747,9,1,https://en.wikipedia.org/wiki/Eus%C3%A9bio,Atacante,https://upload.wikimedia.org/wikipedia/commons/5/55/Eusebio_en_1973.jpg
1966,1966 FIFA Men's World Cup,Helmut Haller,Germany,DEU,P-12272,6,2,https://en.wikipedia.org/wiki/Helmut_Haller,Atacante,https://upload.wikimedia.org/wikipedia/commons/0/02/1969_Juventus_FC_-_Helmut_Haller.jpg
1966,1966 FIFA Men's World Cup,Ferenc Bene,Hungary,HUN,P-82516,4,3,https://en.wikipedia.org/wiki/Ferenc_Bene,Atacante,https://upload.wikimedia.org/wikipedia/commons/3/31/Gyula_Guly%C3%A1s_sports_reporter_with_Fl%C3%B3ri%C3%A1n_Albert%2C_Ferenc_Bene_and_J%C3%A1nos_Farkas_footballers_%28cropped%29.jpg
1966,1966 FIFA Men's World Cup,Franz Beckenbauer,Germany,DEU,P-72864,4,4,https://en.wikipedia.org/wiki/Franz_Beckenbauer,Defensor,https://upload.wikimedia.org/wikipedia/commons/5/56/Franz_Beckenbauer_%281975%29.jpg
1966,1966 FIFA Men's World Cup,Geoff Hurst,England,ENG,P-34802,4,5,https://en.wikipedia.org/wiki/Geoff_Hurst,Atacante,https://upload.wikimedia.org/wikipedia/commons/8/8c/Geoff_Hurst_%282%29.jpg
1970,1970 FIFA Men's World Cup,Gerd Müller,Germany,DEU,P-72441,10,1,https://en.wikipedia.org/wiki/Gerd_M%C3%BCller,Atacante,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gerd_M%C3%BCller_c1973_%28cropped%29.jpg
1970,1970 FIFA Men's World Cup,Jairzinho,Brazil,BRA,P-77430,7,2,https://en.wikipedia.org/wiki/Jairzinho,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/8/8f/Jairzinho_1970s.jpg
1970,1970 FIFA Men's World Cup,Teófilo Cubillas,Peru,PER,P-96979,5,3,https://en.wikipedia.org/wiki/Te%C3%B3filo_Cubillas,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/0/0b/Te%C3%B3filo_Cubillas_1978.jpg
1970,1970 FIFA Men's World Cup,Anatoliy Byshovets,Russia,SUN,P-02102,4,4,https://en.wikipedia.org/wiki/Anatoliy_Byshovets,Atacante,https://upload.wikimedia.org/wikipedia/commons/3/30/Anatoliy_Byshovets_Panini_1970.jpg
1970,1970 FIFA Men's World Cup,Pelé,Brazil,BRA,P-38906,4,5,https://en.wikipedia.org/wiki/Pel%C3%A9,Atacante,https://upload.wikimedia.org/wikipedia/commons/5/5e/Pele_con_brasil_%28cropped%29.jpg
1974,1974 FIFA Men's World Cup,Grzegorz Lato,Poland,POL,P-21597,7,1,https://en.wikipedia.org/wiki/Grzegorz_Lato,Atacante,https://upload.wikimedia.org/wikipedia/commons/3/3f/V.l.n.r._Lato%2C_Boniek_en_trainer_Kulesza%2C_Bestanddeelnr_930-4929_%28Lato_cropped%29.jpg
1974,1974 FIFA Men's World Cup,Andrzej Szarmach,Poland,POL,P-92867,5,2,https://en.wikipedia.org/wiki/Andrzej_Szarmach,Atacante,https://upload.wikimedia.org/wikipedia/commons/b/b1/Andrzej_Szarmach_2017.jpg
1974,1974 FIFA Men's World Cup,Johan Neeskens,Netherlands,NLD,P-16991,5,3,https://en.wikipedia.org/wiki/Johan_Neeskens,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/7/7b/Johan_Neeskens_1974.jpg
1974,1974 FIFA Men's World Cup,Gerd Müller,Germany,DEU,P-72441,4,4,https://en.wikipedia.org/wiki/Gerd_M%C3%BCller,Atacante,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gerd_M%C3%BCller_c1973_%28cropped%29.jpg
1974,1974 FIFA Men's World Cup,Johnny Rep,Netherlands,NLD,P-89554,4,5,https://en.wikipedia.org/wiki/Johnny_Rep,Atacante,https://upload.wikimedia.org/wikipedia/commons/5/58/Johnny_Rep_1974.jpg
1978,1978 FIFA Men's World Cup,Mario Kempes,Argentina,ARG,P-35082,6,1,https://en.wikipedia.org/wiki/Mario_Kempes,Atacante,https://upload.wikimedia.org/wikipedia/commons/6/6d/Kempes_Valencia_CF.jpg
1978,1978 FIFA Men's World Cup,Rob Rensenbrink,Netherlands,NLD,P-63266,5,2,https://en.wikipedia.org/wiki/Rob_Rensenbrink,Atacante,https://upload.wikimedia.org/wikipedia/commons/a/aa/Rob_Rensenbrink_%281978%29.jpg
1978,1978 FIFA Men's World Cup,Teófilo Cubillas,Peru,PER,P-96979,5,3,https://en.wikipedia.org/wiki/Te%C3%B3filo_Cubillas,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/0/0b/Te%C3%B3filo_Cubillas_1978.jpg
1978,1978 FIFA Men's World Cup,Hans Krankl,Austria,AUT,P-52271,4,4,https://en.wikipedia.org/wiki/Hans_Krankl,Atacante,https://upload.wikimedia.org/wikipedia/commons/6/6b/FC_Red_Bull_Salzburg_vs._SK_Rapid_Wien_%282022-09-18%29_17a.jpg
1978,1978 FIFA Men's World Cup,Leopoldo Luque,Argentina,ARG,P-26640,4,5,https://en.wikipedia.org/wiki/Leopoldo_Luque,Atacante,https://upload.wikimedia.org/wikipedia/commons/5/5c/Leopoldo_Luque_1978.jpg
1982,1982 FIFA Men's World Cup,Paolo Rossi,Italy,ITA,P-91717,6,1,https://en.wikipedia.org/wiki/Paolo_Rossi,Atacante,https://upload.wikimedia.org/wikipedia/commons/b/b7/Paolo_Rossi_at_the_1982_FIFA_World_Cup_%28cropped%29.jpg
1982,1982 FIFA Men's World Cup,Karl-Heinz Rummenigge,Germany,DEU,P-59574,5,2,https://en.wikipedia.org/wiki/Karl-Heinz_Rummenigge,Atacante,https://upload.wikimedia.org/wikipedia/commons/f/fc/2015-02-06_Rummenigge_0370_%28cropped%29.JPG
1982,1982 FIFA Men's World Cup,Zbigniew Boniek,Poland,POL,P-03652,4,3,https://en.wikipedia.org/wiki/Zbigniew_Boniek,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/6/64/Zbigniew_Boniek_2015.jpg
1982,1982 FIFA Men's World Cup,Zico,Brazil,BRA,P-37483,4,4,https://en.wikipedia.org/wiki/Zico_(footballer),Meio-campista,https://upload.wikimedia.org/wikipedia/commons/e/e3/Zico_2012_3.jpg
1982,1982 FIFA Men's World Cup,Alain Giresse,France,FRA,P-79617,3,5,https://en.wikipedia.org/wiki/Alain_Giresse,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/a/a6/Alain_Giresse.jpg
1986,1986 FIFA Men's World Cup,Gary Lineker,England,ENG,P-36651,6,1,https://en.wikipedia.org/wiki/Gary_Lineker,Atacante,https://upload.wikimedia.org/wikipedia/commons/c/c1/Prime_Minister_Keir_Starmer_hosts_St_George%27s_Day_Reception_%2854470857860%29_%28cropped%29.jpg
1986,1986 FIFA Men's World Cup,Diego Maradona,Argentina,ARG,P-80404,5,2,https://en.wikipedia.org/wiki/Diego_Maradona,Meio-campista,https://upload.wikimedia.org/wikipedia/commons/4/48/Argentina_celebrando_copa_%28cropped%29.jpg
