country;country_pt;n_matches;n_gols
Antarctica;Antártida;0;0
Algeria;Argélia;13;13
Albania;Albânia;0;0
Afghanistan;Afeganistão;0;0
Angola;Angola;3;1
Argentina;Argentina;88;152
Armenia;Armênia;0;0
Australia;Austrália;20;17
Austria;Áustria;29;43
Azerbaijan;Azerbaijão;0;0
Bangladesh;Bangladesh;0;0
Belarus;Belarus;0;0
Belgium;Bélgica;51;69
Belize;Belize;0;0
Benin;Benim;0;0
Bhutan;Butão;0;0
Bolivia;Bolívia;6;1
Bosnia and Herzegovina;Bósnia e Herzegovina;3;4
Botswana;Botsuana;0;0
Brazil;Brasil;114;237
Brunei;Brunei;0;0
Bulgaria;Bulgária;26;22
Burkina Faso;Burkina Faso;0;0
Burundi;Burundi;0;0
Cambodia;Camboja;0;0
Cameroon;Camarões;26;22
Canada;Canadá;6;2
Central African Republic;República Centro-Africana;0;0
Chad;Chade;0;0
Chile;Chile;33;40
China;China;3;0
Colombia;Colômbia;22;32
Costa Rica;Costa Rica;21;22
Croatia;Croácia;30;43
Cuba;Cuba;3;5
Cyprus;Chipre;0;0
Czechia;Tchéquia;33;47
Democratic Republic of the Congo;República Democrática do Congo;3;0
Denmark;Dinamarca;23;31
Djibouti;Djibuti;0;0
Dominican Republic;República Dominicana;0;0
East Timor;Timor-Leste;0;0
Ecuador;Equador;13;14
Egypt;Egito;7;5
El Salvador;El Salvador;6;1
Equatorial Guinea;Guiné Equatorial;0;0
Eritrea;Eritreia;0;0
Estonia;Estônia;0;0
Eswatini;Essuatíni;0;0
Ethiopia;Etiópia;0;0
Falkland Islands;Ilhas Malvinas;0;0
Fiji;Fiji;0;0
Finland;Finlândia;0;0
France;França;73;136
French Guiana;Guiana Francesa;0;0
French Southern and Antarctic Lands;Terras Austrais e Antárticas Francesas;0;0
Gabon;Gabão;0;0
Gambia;Gâmbia;0;0
Georgia;Geórgia;0;0
Germany;Alemanha;112;232
Ghana;Gana;15;18
Greece;Grécia;10;5
Greenland;Groenlândia;0;0
Guatemala;Guatemala;0;0
Guinea;Guiné;0;0
Guinea-Bissau;Guiné-Bissau;0;0
Guyana;Guiana;0;0
Haiti;Haiti;3;2
Honduras;Honduras;9;3
Hungary;Hungria;32;87
Iceland;Islândia;3;2
India;Índia;0;0
Indonesia;Indonésia;1;0
Iran;Irã;18;13
Iraq;Iraque;3;1
Ireland;Irlanda;0;10
Israel;Israel;3;1
Italy;Itália;83;128
Ivory Coast;Costa do Marfim;9;13
Jamaica;Jamaica;3;3
Japan;Japão;25;25
Jordan;Jordânia;0;0
Kazakhstan;Cazaquistão;0;0
Kenya;Quênia;0;0
Kosovo;Kosovo;0;0
Kuwait;Kuwait;3;2
Kyrgyzstan;Quirguistão;0;0
Laos;Laos;0;0
Latvia;Letônia;0;0
Lebanon;Líbano;0;0
Lesotho;Lesoto;0;0
Liberia;Libéria;0;0
Libya;Líbia;0;0
Lithuania;Lituânia;0;0
Luxembourg;Luxemburgo;0;0
Madagascar;Madagascar;0;0
Malawi;Maláui;0;0
Malaysia;Malásia;0;0
Mali;Mali;0;0
Mauritania;Mauritânia;0;0
Mexico;México;60;62
Moldova;Moldova;0;0
Mongolia;Mongólia;0;0
Montenegro;Montenegro;3;2
Morocco;Marrocos;23;20
Mozambique;Moçambique;0;0
Myanmar;Myanmar;0;0
Namibia;Namíbia;0;0
Nepal;Nepal;0;0
Netherlands;Países Baixos;55;96
New Caledonia;Nova Caledônia;0;0
New Zealand;Nova Zelândia;6;4
Nicaragua;Nicarágua;0;0
Niger;Níger;0;0
Nigeria;Nigéria;21;23
North Korea;Coreia do Norte;7;6
North Macedonia;Macedônia do Norte;0;0
Northern Cyprus;Chipre do Norte;0;0
Norway;Noruega;8;7
Oman;Omã;0;0
Pakistan;Paquistão;0;0
Palestine;Palestina;0;0
Panama;Panamá;3;2
Papua New Guinea;Papua Nova Guiné;0;0
Paraguay;Paraguai;27;30
Peru;Peru;18;21
Philippines;Filipinas;0;0
Poland;Polônia;38;49
Portugal;Portugal;35;61
Puerto Rico;Porto Rico;0;0
Qatar;Catar;3;1
Republic of Serbia;República da Sérvia;3;2
Republic of the Congo;República do Congo;0;0
Romania;Romênia;21;30
Russia;Rússia;45;77
Rwanda;Ruanda;0;0
Saudi Arabia;Arábia Saudita;19;14
Senegal;Senegal;12;16
Sierra Leone;Serra Leoa;0;0
Singapore;Singapura;0;0
Slovakia;Eslováquia;4;5
Slovenia;Eslovênia;6;5
Solomon Islands;Ilhas Salomão;0;0
Somalia;Somália;0;0
Somaliland;Somalilândia;0;0
South Africa;África do Sul;9;11
South Korea;Coreia do Sul;38;39
South Sudan;Sudão do Sul;0;0
Spain;Espanha;67;108
Sri Lanka;Sri Lanka;0;0
Sudan;Sudão;0;0
Suriname;Suriname;0;0
Sweden;Suécia;51;80
Switzerland;Suíça;41;55
Syria;Síria;0;0
Taiwan;Taiwan;0;0
Tajikistan;Tajiquistão;0;0
Thailand;Tailândia;0;0
The Bahamas;Bahamas;0;0
Togo;Togo;3;1
Trinidad and Tobago;Trinidad e Tobago;3;0
Tunisia;Tunísia;18;14
Turkey;Turquia;10;20
Turkmenistan;Turcomenistão;0;0
Uganda;Uganda;0;0
Ukraine;Ucrânia;5;5
United Arab Emirates;Emirados Árabes Unidos;3;2
United Kingdom;Inglaterra, Wales, Scotland e Irlanda do Norte;118;147
United Republic of Tanzania;República Unida da Tanzânia;0;0
